model.model.transformer.layers.11.ff.ff.2.weight | Shape: [1024, 4096]
model.model.transformer.layers.11.ff.ff.2.bias | Shape: [1024]
model.model.transformer.layers.12.pre_norm.gamma | Shape: [1024]
model.model.transformer.layers.12.self_attn.to_qkv.weight | Shape: [3072, 1024]
model.model.transformer.layers.12.self_attn.to_out.weight | Shape: [1024, 1024]
model.model.transformer.layers.12.self_attn.q_norm.weight | Shape: [128]
model.model.transformer.layers.12.self_attn.q_norm.bias | Shape: [128]
model.model.transformer.layers.12.self_attn.k_norm.weight | Shape: [128]
model.model.transformer.layers.12.self_attn.k_norm.bias | Shape: [128]
model.model.transformer.layers.12.cross_attend_norm.gamma | Shape: [1024]
model.model.transformer.layers.12.cross_attn.to_q.weight | Shape: [1024, 1024]
model.model.transformer.layers.12.cross_attn.to_kv.weight | Shape: [2048, 1024]
model.model.transformer.layers.12.cross_attn.to_out.weight | Shape: [1024, 1024]
model.model.transformer.layers.12.cross_attn.q_norm.weight | Shape: [128]
model.model.transformer.layers.12.cross_attn.q_norm.bias | Shape: [128]
model.model.transformer.layers.12.cross_attn.k_norm.weight | Shape: [128]
model.model.transformer.layers.12.cross_attn.k_norm.bias | Shape: [128]
model.model.transformer.layers.12.ff_norm.gamma | Shape: [1024]
model.model.transformer.layers.12.ff.ff.0.proj.weight | Shape: [8192, 1024]
model.model.transformer.layers.12.ff.ff.0.proj.bias | Shape: [8192]
model.model.transformer.layers.12.ff.ff.2.weight | Shape: [1024, 4096]
model.model.transformer.layers.12.ff.ff.2.bias | Shape: [1024]
model.model.transformer.layers.13.pre_norm.gamma | Shape: [1024]
model.model.transformer.layers.13.self_attn.to_qkv.weight | Shape: [3072, 1024]
model.model.transformer.layers.13.self_attn.to_out.weight | Shape: [1024, 1024]
model.model.transformer.layers.13.self_attn.q_norm.weight | Shape: [128]
model.model.transformer.layers.13.self_attn.q_norm.bias | Shape: [128]
model.model.transformer.layers.13.self_attn.k_norm.weight | Shape: [128]
model.model.transformer.layers.13.self_attn.k_norm.bias | Shape: [128]
model.model.transformer.layers.13.cross_attend_norm.gamma | Shape: [1024]
model.model.transformer.layers.13.cross_attn.to_q.weight | Shape: [1024, 1024]
model.model.transformer.layers.13.cross_attn.to_kv.weight | Shape: [2048, 1024]
model.model.transformer.layers.13.cross_attn.to_out.weight | Shape: [1024, 1024]
model.model.transformer.layers.13.cross_attn.q_norm.weight | Shape: [128]
model.model.transformer.layers.13.cross_attn.q_norm.bias | Shape: [128]
model.model.transformer.layers.13.cross_attn.k_norm.weight | Shape: [128]
model.model.transformer.layers.13.cross_attn.k_norm.bias | Shape: [128]
model.model.transformer.layers.13.ff_norm.gamma | Shape: [1024]
model.model.transformer.layers.13.ff.ff.0.proj.weight | Shape: [8192, 1024]
model.model.transformer.layers.13.ff.ff.0.proj.bias | Shape: [8192]
model.model.transformer.layers.13.ff.ff.2.weight | Shape: [1024, 4096]
model.model.transformer.layers.13.ff.ff.2.bias | Shape: [1024]
model.model.transformer.layers.14.pre_norm.gamma | Shape: [1024]
model.model.transformer.layers.14.self_attn.to_qkv.weight | Shape: [3072, 1024]
model.model.transformer.layers.14.self_attn.to_out.weight | Shape: [1024, 1024]
model.model.transformer.layers.14.self_attn.q_norm.weight | Shape: [128]
model.model.transformer.layers.14.self_attn.q_norm.bias | Shape: [128]
model.model.transformer.layers.14.self_attn.k_norm.weight | Shape: [128]
model.model.transformer.layers.14.self_attn.k_norm.bias | Shape: [128]
model.model.transformer.layers.14.cross_attend_norm.gamma | Shape: [1024]
model.model.transformer.layers.14.cross_attn.to_q.weight | Shape: [1024, 1024]
model.model.transformer.layers.14.cross_attn.to_kv.weight | Shape: [2048, 1024]
model.model.transformer.layers.14.cross_attn.to_out.weight | Shape: [1024, 1024]
model.model.transformer.layers.14.cross_attn.q_norm.weight | Shape: [128]
model.model.transformer.layers.14.cross_attn.q_norm.bias | Shape: [128]
model.model.transformer.layers.14.cross_attn.k_norm.weight | Shape: [128]
model.model.transformer.layers.14.cross_attn.k_norm.bias | Shape: [128]
model.model.transformer.layers.14.ff_norm.gamma | Shape: [1024]
model.model.transformer.layers.14.ff.ff.0.proj.weight | Shape: [8192, 1024]
model.model.transformer.layers.14.ff.ff.0.proj.bias | Shape: [8192]
model.model.transformer.layers.14.ff.ff.2.weight | Shape: [1024, 4096]
model.model.transformer.layers.14.ff.ff.2.bias | Shape: [1024]
model.model.transformer.layers.15.pre_norm.gamma | Shape: [1024]
model.model.transformer.layers.15.self_attn.to_qkv.weight | Shape: [3072, 1024]
model.model.transformer.layers.15.self_attn.to_out.weight | Shape: [1024, 1024]
model.model.transformer.layers.15.self_attn.q_norm.weight | Shape: [128]
model.model.transformer.layers.15.self_attn.q_norm.bias | Shape: [128]
model.model.transformer.layers.15.self_attn.k_norm.weight | Shape: [128]
model.model.transformer.layers.15.self_attn.k_norm.bias | Shape: [128]
model.model.transformer.layers.15.cross_attend_norm.gamma | Shape: [1024]
model.model.transformer.layers.15.cross_attn.to_q.weight | Shape: [1024, 1024]
model.model.transformer.layers.15.cross_attn.to_kv.weight | Shape: [2048, 1024]
model.model.transformer.layers.15.cross_attn.to_out.weight | Shape: [1024, 1024]
model.model.transformer.layers.15.cross_attn.q_norm.weight | Shape: [128]
model.model.transformer.layers.15.cross_attn.q_norm.bias | Shape: [128]
model.model.transformer.layers.15.cross_attn.k_norm.weight | Shape: [128]
model.model.transformer.layers.15.cross_attn.k_norm.bias | Shape: [128]
model.model.transformer.layers.15.ff_norm.gamma | Shape: [1024]
model.model.transformer.layers.15.ff.ff.0.proj.weight | Shape: [8192, 1024]
model.model.transformer.layers.15.ff.ff.0.proj.bias | Shape: [8192]
model.model.transformer.layers.15.ff.ff.2.weight | Shape: [1024, 4096]
model.model.transformer.layers.15.ff.ff.2.bias | Shape: [1024]
model.model.transformer.project_in.weight | Shape: [1024, 64]
model.model.transformer.project_out.weight | Shape: [64, 1024]
